2018-01-29 11:09:24,824 - root - INFO - ############################### START ###############################
2018-01-29 11:09:51,119 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 26.276253700256348 seconds
2018-01-29 11:09:51,275 - root - INFO - SUCCESS    Set browser window maximized, Spend 0.10745811462402344 seconds
2018-01-29 11:09:52,072 - root - INFO - SUCCESS    Navigated to http://192.168.1.203:8080/ips/login.real.jsp, Spend 0.7963826656341553 seconds
2018-01-29 11:09:52,261 - root - INFO - SUCCESS    Clear and type element: <id->username> content: admin, Spend 0.18033385276794434 seconds
2018-01-29 11:09:52,375 - root - INFO - SUCCESS    Clear and type element: <id->password> content: 111111, Spend 0.10507535934448242 seconds
2018-01-29 11:09:52,527 - root - INFO - SUCCESS    Clicked element: <id->btnLogin>, Spend 0.1461024284362793 seconds
2018-01-29 11:09:57,712 - root - INFO - SUCCESS    Clicked element: <xpath->html/body/div[10]/div[1]/a>, Spend 0.17812728881835938 seconds
2018-01-29 11:09:57,821 - root - INFO - SUCCESS    Clicked element: <xpath->//div[@id="navMenu"]/ul/li[7]/a/img>, Spend 0.1030735969543457 seconds
2018-01-29 11:09:58,124 - root - INFO - SUCCESS    Switch to frame element: <id->fNav>, Spend 0.2942080497741699 seconds
2018-01-29 11:09:58,393 - root - INFO - SUCCESS    Clicked element: <id->spage.data.tree39>, Spend 0.20214462280273438 seconds
2018-01-29 11:09:58,627 - root - INFO - SUCCESS    Switch to frame out, Spend 0.22823524475097656 seconds
2018-01-29 11:09:59,351 - root - INFO - SUCCESS    Switch to frame element: <id->fMain>, Spend 0.7112686634063721 seconds
2018-01-29 11:09:59,722 - root - INFO - SUCCESS    Switch to frame element: <name->fRight>, Spend 0.36325502395629883 seconds
2018-01-29 11:10:01,966 - root - INFO - SUCCESS    Clicked element: <name->btnCreateUser>, Spend 0.2115631103515625 seconds
2018-01-29 11:10:02,030 - root - INFO - SUCCESS    Clear and type element: <id->loginId> content: daxiong, Spend 0.05704045295715332 seconds
2018-01-29 11:10:02,100 - root - INFO - SUCCESS    Clear and type element: <id->userName> content: 大熊, Spend 0.06604695320129395 seconds
2018-01-29 11:10:02,161 - root - INFO - SUCCESS    Clear and type element: <id->password> content: 111111, Spend 0.05603766441345215 seconds
2018-01-29 11:10:02,220 - root - INFO - SUCCESS    Clear and type element: <id->confirm> content: 111111, Spend 0.055039167404174805 seconds
2018-01-29 11:10:02,292 - root - INFO - SUCCESS    Clear and type element: <id->email> content: daxiong@163.com, Spend 0.06717872619628906 seconds
2018-01-29 11:10:02,362 - root - INFO - SUCCESS    Clear and type element: <id->phone> content: 18826051234, Spend 0.06504607200622559 seconds
2018-01-29 11:10:02,467 - root - INFO - SUCCESS    Clicked element: <xpath->(//button[@type="button"])[9]>, Spend 0.1010737419128418 seconds
2018-01-29 11:10:05,988 - root - INFO - SUCCESS    Clicked element: <name->btnCreateUser>, Spend 0.024004459381103516 seconds
2018-01-29 11:10:06,084 - root - INFO - SUCCESS    Clear and type element: <id->loginId> content: xiaopang, Spend 0.07405257225036621 seconds
2018-01-29 11:10:06,136 - root - INFO - SUCCESS    Clear and type element: <id->userName> content: 小胖, Spend 0.04603290557861328 seconds
2018-01-29 11:10:06,199 - root - INFO - SUCCESS    Clear and type element: <id->password> content: 111111, Spend 0.04503440856933594 seconds
2018-01-29 11:10:06,258 - root - INFO - SUCCESS    Clear and type element: <id->confirm> content: 111111, Spend 0.054039716720581055 seconds
2018-01-29 11:10:06,360 - root - INFO - SUCCESS    Clear and type element: <id->email> content: xiaopang@163.com, Spend 0.0690450668334961 seconds
2018-01-29 11:10:06,418 - root - INFO - SUCCESS    Clear and type element: <id->phone> content: 18855554444, Spend 0.053232669830322266 seconds
2018-01-29 11:10:06,510 - root - INFO - SUCCESS    Clicked element: <xpath->(//button[@type="button"])[9]>, Spend 0.08508586883544922 seconds
2018-01-29 11:10:12,001 - root - INFO - SUCCESS    Closed all window and quit the driver, Spend 2.417346715927124 seconds
2018-01-29 11:10:12,051 - root - INFO - ###############################  End  ###############################
2018-01-29 11:10:17,367 - root - INFO - 发送邮件成功
2018-01-29 11:20:39,688 - root - INFO - ############################### START ###############################
2018-01-29 11:21:00,882 - root - INFO - SUCCESS    Start a new browser: firefox, Spend 21.161918878555298 seconds
2018-01-29 11:21:01,159 - root - INFO - SUCCESS    Set browser window maximized, Spend 0.21873044967651367 seconds
2018-01-29 11:21:02,009 - root - INFO - SUCCESS    Navigated to http://192.168.1.203:8080/ips/login.real.jsp, Spend 0.8455095291137695 seconds
2018-01-29 11:21:02,144 - root - INFO - SUCCESS    Clear and type element: <id->username> content: admin, Spend 0.12562251091003418 seconds
2018-01-29 11:21:02,264 - root - INFO - SUCCESS    Clear and type element: <id->password> content: 111111, Spend 0.11512303352355957 seconds
2018-01-29 11:21:02,351 - root - INFO - SUCCESS    Clicked element: <id->btnLogin>, Spend 0.08105826377868652 seconds
2018-01-29 11:21:07,645 - root - INFO - SUCCESS    Clicked element: <xpath->html/body/div[10]/div[1]/a>, Spend 0.28420138359069824 seconds
2018-01-29 11:21:07,698 - root - INFO - SUCCESS    Clicked element: <xpath->//div[@id="navMenu"]/ul/li[7]/a/img>, Spend 0.039025068283081055 seconds
2018-01-29 11:21:07,725 - root - INFO - SUCCESS    Switch to frame element: <id->fNav>, Spend 0.018013477325439453 seconds
2018-01-29 11:21:08,920 - root - INFO - SUCCESS    Clicked element: <id->spage.data.tree39>, Spend 1.1863617897033691 seconds
2018-01-29 11:21:09,229 - root - INFO - SUCCESS    Switch to frame out, Spend 0.3002138137817383 seconds
2018-01-29 11:21:09,294 - root - INFO - SUCCESS    Switch to frame element: <id->fMain>, Spend 0.05303764343261719 seconds
2018-01-29 11:21:09,329 - root - INFO - SUCCESS    Switch to frame element: <name->fRight>, Spend 0.029021501541137695 seconds
2018-01-29 11:21:11,503 - root - INFO - SUCCESS    Clicked element: <name->btnCreateUser>, Spend 0.1504356861114502 seconds
2018-01-29 11:21:11,578 - root - INFO - SUCCESS    Clear and type element: <id->loginId> content: daxiong, Spend 0.06604838371276855 seconds
2018-01-29 11:21:11,648 - root - INFO - SUCCESS    Clear and type element: <id->userName> content: 大熊, Spend 0.06406497955322266 seconds
2018-01-29 11:21:11,709 - root - INFO - SUCCESS    Clear and type element: <id->password> content: 111111, Spend 0.05503988265991211 seconds
2018-01-29 11:21:11,782 - root - INFO - SUCCESS    Clear and type element: <id->confirm> content: 111111, Spend 0.06705999374389648 seconds
2018-01-29 11:21:11,876 - root - INFO - SUCCESS    Clear and type element: <id->email> content: daxiong@163.com, Spend 0.08705782890319824 seconds
2018-01-29 11:21:12,043 - root - INFO - SUCCESS    Clear and type element: <id->phone> content: 18826051234, Spend 0.1611347198486328 seconds
2018-01-29 11:21:12,139 - root - INFO - SUCCESS    Clicked element: <xpath->(//button[@type="button"])[9]>, Spend 0.08806037902832031 seconds
2018-01-29 11:21:15,629 - root - INFO - SUCCESS    Clicked element: <name->btnCreateUser>, Spend 0.03402447700500488 seconds
2018-01-29 11:21:15,726 - root - INFO - SUCCESS    Clear and type element: <id->loginId> content: xiaopang, Spend 0.0880575180053711 seconds
2018-01-29 11:21:15,783 - root - INFO - SUCCESS    Clear and type element: <id->userName> content: 小胖, Spend 0.051035404205322266 seconds
2018-01-29 11:21:15,847 - root - INFO - SUCCESS    Clear and type element: <id->password> content: 111111, Spend 0.056040287017822266 seconds
2018-01-29 11:21:15,902 - root - INFO - SUCCESS    Clear and type element: <id->confirm> content: 111111, Spend 0.04703474044799805 seconds
2018-01-29 11:21:16,224 - root - INFO - SUCCESS    Clear and type element: <id->email> content: xiaopang@163.com, Spend 0.316225528717041 seconds
